timestamp,participant_id,medium,input_method,row_role,llm_provider,prompt_text,reply_text,participant_reply_text,llm_reply_text,final_reply_text,transcript,response_time_seconds,words_per_minute,keypress_count,backspace_count,paste_used,correction_applied,manual_edit_count,edit_ratio,keystrokes_per_character,backspaces_per_word,edit_activity_compact,prompt_style,prompt_tone,prompt_seriousness,prompt_formality,prompt_id,prompt_source,reply_style,reply_analysis_status,reply_analysis_basis,transcript_status,transcript_source,formality_label,formality_confidence,formality_match_prompt_reply,bert_label,bert_raw,bert_confidence,audio_filename,log_row_id,edit_trace_available,revision_count,inserted_chars_est,deleted_chars_est,net_char_change,manual_edit_chars_after_transcript_est,voice_transcript_initial_chars,edit_trace_path
2026-04-22T11:46:18,P001,SMS,Keyboard,,,Hi! Can you help me with something today?,Yes you can.,,,,,4.155,,14,0,no,no,,,,,,informal,friendly,medium,neutral,,,informal,ok,reply_text,,,LABEL_1,0.9622182250022888,yes,positive,5 stars,0.5551024675369263,,,,,,,,,,
2026-04-24T09:17:50,TEST_PID,LLM,LLM,,,Hello,Hello! How are you doing today?,,,,,0,,0,0,no,no,,,,,,neutral,,,,,,informal,ok,llm_reply,,,LABEL_1,0.9935645461082458,,5 stars,5 stars,0.5822187066078186,,,,,,,,,,
2026-04-24T09:22:38,TEST_PID,LLM,LLM,,,Hello,Hello! How are you today?,,,,,0,,0,0,no,no,,,,,,neutral,,,,,,informal,ok,llm_reply,,,LABEL_1,0.9915909767150879,,5 stars,5 stars,0.6184409856796265,,,,,,,,,,
2026-04-24T09:39:25,TEST_PID,LLM,LLM,,,Hello,"Sure! Here is a response that continues the conversation:

""Hi there! How are you doing today?""",,,,,0,,0,0,no,no,,,,,,neutral,,,,,,informal,ok,llm_reply,,,,0.0,,neutral,neutral,0.0,,,,,,,,,,
2026-04-24T09:41:51,P002,SMS,Keyboard,,,Hi! Can you help me with something today?,Ofcourse I can,,,,,2.253,,17,0,no,no,,,,,,informal,friendly,medium,neutral,,,neutral,ok,reply_text,,,LABEL_0,0.9969077706336975,no,neutral,3 stars,0.27329176664352417,,,,,,,,,,
2026-04-24T09:41:53,P002,SMS,LLM,,,Hi! Can you help me with something today?,Of course! What do you need help with today?,,,,,0,,0,0,no,no,,,,,,informal,friendly,medium,,,,informal,ok,llm_reply,,,LABEL_1,0.9878731966018677,,4 stars,4 stars,0.26238343119621277,,,,,,,,,,
2026-04-24T09:41:53,P002,SMS,LLM,,,Hi! Can you help me with something today?,Of course! What do you need help with today?,,,,,0.0,,0,0,no,no,,,,,,informal,friendly,medium,informal,,,informal,ok,reply_text,,,LABEL_1,0.9878731966018677,yes,positive,4 stars,0.26238343119621277,,,,,,,,,,
2026-04-24T09:42:22,P002,SMS,Keyboard,,,Hi! Can you help me with something today?,I simply want a burger for lunch.,,,,,23.919,,43,3,no,no,,,,,,informal,friendly,medium,neutral,,,neutral,ok,reply_text,,,LABEL_1,0.9494647979736328,yes,negative,1 star,0.29146531224250793,,,,,,,,,,
2026-04-24T09:46:09,TEST_PID,LLM,LLM,,,Hello,Hello! How are you doing today?,,,,,0,,0,0,no,no,,,,,,neutral,,,,,,informal,ok,llm_reply,,,,0.0,,neutral,neutral,0.0,,,,,,,,,,
2026-04-24T09:56:41,PTEST001,SMS,Keyboard,,,Can you quickly review this plan before 5?,Ofcourse I can,,,,,5.0,,10,1,no,no,,,,,,neutral,friendly,medium,informal,,,neutral,ok,reply_text,,,LABEL_0,0.9969077706336975,no,neutral,3 stars,0.27329176664352417,,,,,,,,,,
2026-04-24T09:56:43,PTEST001,SMS,LLM,,,Can you quickly review this plan before 5?,Certainly! I will review the plan before 5. Let me know if there are any specific areas you would like me to focus on.,,,,,0,,0,0,no,no,,,,,,informal,,,,,,neutral,ok,llm_reply,,,LABEL_1,0.9970679879188538,,3 stars,3 stars,0.38989418745040894,,,,,,,,,,
2026-04-24T09:56:43,PTEST001,SMS,Keyboard,,,Can you quickly review this plan before 5?,I simply want a burger for lunch.,,,,,3.0,,4,0,no,no,,,,,,neutral,friendly,medium,informal,,,neutral,ok,reply_text,,,LABEL_1,0.9494647979736328,yes,negative,1 star,0.29146531224250793,,,,,,,,,,
